baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL001113 7895.96258493839 -1.07390933004704 0.196203365634272 -5.47345009386246 4.41357218763943e-08 2.27383734155597e-07 2.14121584326216e-09 -1.04688042428667
AAEL001146 87.6094888396216 -1.98811480560518 0.485320460081834 -4.09649905398578 4.19445201500513e-05 0.000137514896190926 7.03597190651267e-06 -1.82380130569391
AAEL001151 573.504045946228 -1.20392231136828 0.207629255977643 -5.79842327951085 6.69413152077292e-09 3.78889748522837e-08 3.53905893660373e-10 -1.17299592949009
AAEL001171 549.031335237159 -1.25746418997521 0.176611012988074 -7.11996476720348 1.07954656036409e-12 9.29094974121564e-12 5.95542436268392e-14 -1.23492152855711
AAEL001175 201.360527413711 -1.38733111939416 0.254347711344268 -5.45446669074353 4.91200411930276e-08 2.50789534525736e-07 3.48403140424537e-09 -1.3404309800342
AAEL001187 476.68876844838 -1.04767541072487 0.19588837224886 -5.34832873792981 8.87701198441175e-08 4.35174094693729e-07 4.6775374219777e-09 -1.02104311742704
AAEL001204 930.373015056045 -1.35032965355495 0.176121789389219 -7.6670221114481 1.76035441423333e-14 1.81619279539354e-13 9.34127478305953e-16 -1.32771896464779
AAEL001216 2696.66875003533 -1.0512376814466 0.119738130670889 -8.77947296785532 1.64242459856785e-18 2.4975315201407e-17 6.87246853723165e-20 -1.0408201038115
AAEL001238 401.791439179471 -1.37460326421526 0.228948452817552 -6.00398581994644 1.9253152331547e-09 1.16249306718096e-08 1.16581007547371e-10 -1.33654736514711
AAEL001249 79.0105240458034 -1.40075313664273 0.308248610977209 -4.54423178810787 5.51359615382218e-06 2.07359159698095e-05 4.90712991149537e-07 -1.33208879024942
AAEL001315 237.627082554307 -1.48182508349107 0.235864674595457 -6.282522323585 3.33123417788857e-10 2.17057545750305e-09 2.67934029018724e-11 -1.44147945786434
AAEL001324 519.981215380443 -1.16532036531087 0.206510337653511 -5.64291540342198 1.67194510218286e-08 9.10077915401589e-08 8.45729898634932e-10 -1.1349382841764
