baseMean log2FoldChange lfcSE stat pvalue padj svalue_shrink log2FC_shrink
AAEL000334 110.077838049035 1.45925104169203 0.336610621634638 4.33513070563746 1.45673539598147e-05 2.76761634762763e-05 6.35719829157858e-07 1.38161284309175
AAEL000336 317.328910643041 2.9180624769552 0.20608096627073 14.159786465295 1.62487131421314e-45 1.79160360492384e-44 1.30290523595573e-46 2.89478803979756
AAEL000340 217.437084612067 3.39184969592319 0.265931698069271 12.7545896955829 2.93918232020943e-37 2.42240083616453e-36 1.1955378651543e-38 3.35699164552657
AAEL000341 103.42013004137 2.43660691877849 0.266901754465689 9.12922780764906 6.89896112154543e-20 2.87884027161931e-19 4.2404128804676e-21 2.39337785532003
AAEL000342 551.159169401106 1.60627562289843 0.179601246675197 8.94356610899995 3.76809756773758e-19 1.51703112274804e-18 1.09196868630974e-20 1.58431947300325
AAEL000348 284.809242851014 1.40312645818419 0.200352722676811 7.00328121044589 2.50036250549826e-12 7.18523989311886e-12 6.88110660076403e-14 1.37565506504226
AAEL000354 2947.51200645718 4.41964177560137 0.345662096078848 12.786017980384 1.96275858483211e-37 1.63750527060396e-36 2.12625946674555e-38 4.37151764839712
AAEL000372 515.237457234034 1.69650224239085 0.147828473800936 11.4761534011055 1.73843944686283e-30 1.10128159369328e-29 4.36628228814193e-32 1.68175733425679
AAEL000378 2308.79102374115 1.63460481248858 0.123974507360091 13.1850075253034 1.07043312749318e-39 9.69011172144161e-39 2.0694308457249e-41 1.62419715733057
AAEL000384 17.8134282919374 2.87892070016159 0.638116697484311 4.5115896692742 6.43435713426055e-06 1.2557821235244e-05 9.21468570963972e-07 2.64216263408391
AAEL000387 137.099503360397 8.21992259678136 0.76667922968589 10.721462481968 8.07168135455799e-27 4.50065184958702e-26 1.13004523889082e-29 8.08629846950458
AAEL000405 1030.91245317432 1.95787570892359 0.198488693580712 9.86391553898489 5.9675799133566e-23 2.83529544097715e-22 2.31191951958094e-24 1.93221018382681
AAEL000418 594.822836783702 1.17783945090743 0.128668283430545 9.154077597866 5.48241585549675e-20 2.29949580724553e-19 1.02489042597712e-21 1.16680084355042
AAEL000419 830.057287253916 5.31777860917222 0.241825018102834 21.9901921268993 3.57471263723402e-107 1.99775835466243e-105 5.10358651950964e-107 5.2974161743772
AAEL000431 1712.71821831802 1.27758442599855 0.168008300258952 7.60429350234128 2.86464468636456e-14 9.13268724053551e-14 8.13151372535031e-16 1.25872817765267
AAEL000441 56.8812094347362 1.69258078663089 0.428238921218028 3.95242165708976 7.73642616023894e-05 0.000138734241428812 4.55317664836104e-06 1.56752313672072
AAEL000445 4567.96126080472 4.21197936483616 0.163548417705439 25.7537151623332 2.92890584396949e-146 3.62089683074167e-144 2.32923328611516e-147 4.20074894397586
AAEL000454 16928.5616425947 3.59723729163326 0.151909039644742 23.6802056022857 5.76771832809647e-124 4.58383796218005e-122 4.10564784721159e-125 3.58649202238202
AAEL000455 172.971158510382 2.16694670299379 0.196242117313399 11.0422101670111 2.39078956499063e-28 1.4088046935927e-27 8.27194750751494e-30 2.14239240280015
AAEL000457 609.030635081273 2.02687837595277 0.227603867529063 8.90528969457848 5.32468099843298e-19 2.12553068296873e-18 2.28777027406283e-20 1.99318470671502
AAEL000458 2046.65177877718 2.68130968271246 0.157918673440776 16.9790539921045 1.17362556069499e-64 2.35475462907311e-63 8.43423315274223e-66 2.66346254848835
AAEL000464 549.514377232115 2.86238908841576 0.226412763138743 12.6423486411926 1.23314586195383e-36 9.96860779686459e-36 7.76305425010408e-38 2.8340635761578
AAEL000474 364.434244345945 2.63953126299247 0.200222342437808 13.1830006124933 1.09929935340083e-39 9.94406857817644e-39 7.53417613027283e-41 2.61627502857896
AAEL000504 90.452572048644 1.50928805652409 0.300854071208581 5.01667818707263 5.25725176591891e-07 1.10517870771353e-06 2.01347983098544e-08 1.44738372064743
AAEL000505 341.239666564761 2.67960269478109 0.231302930895343 11.5848194590908 4.92002119692076e-31 3.18267121718357e-30 2.91156394093047e-32 2.64887140247864
AAEL000516 1092.72346617004 1.3176668544551 0.147705959035338 8.92087809497146 4.6260558541465e-19 1.85390627370331e-18 1.07301192485612e-20 1.3018892009639
AAEL000519 133.307258649719 6.75341650235222 0.481642999253075 14.0216228883744 1.14955474601359e-44 1.22555753801919e-43 3.68230750395824e-47 6.68945879465418
AAEL000523 377.30213953811 2.26754250572068 0.225106898472513 10.0731808803166 7.25916178014465e-24 3.61011300394922e-23 3.63570192689634e-25 2.23591932960902
AAEL000528 28.2126563958292 1.71546843622046 0.460469476958248 3.72547697960881 0.000194946244033682 0.000337427108008518 1.19681956152515e-05 1.57094665595465
AAEL000533 1626.44395406759 1.99882132767638 0.280761755761054 7.11927919904273 1.08492939323935e-12 3.17894442036304e-12 5.40610569122161e-14 1.94745263978894
AAEL000536 195.002074476495 2.62718033624189 0.192453433590472 13.6509922802019 1.99148206955281e-42 1.99621204334618e-41 7.70254112646908e-44 2.60599862695325
AAEL000543 143.083200023746 1.57220186607317 0.304400012432593 5.16492050545275 2.4054112985526e-07 5.18854932727975e-07 1.09906041295209e-08 1.50833787726242
AAEL000544 152.685546166734 1.21060118128015 0.24676144807078 4.90595751785711 9.29726481401842e-07 1.92269574913912e-06 2.85950232098948e-08 1.1696620377915
AAEL000545 1050.70401735334 2.54896061476774 0.140629860500123 18.1253156740883 2.01185183653444e-73 5.12980304736356e-72 4.59921522899389e-75 2.53751310298394
AAEL000551 3773.30594780135 1.93461888596872 0.179068784049787 10.8037751874768 3.30336011914668e-27 1.86915508544781e-26 1.20823364905407e-28 1.91414909226203
AAEL000556 1362.74194885614 3.51354053755362 0.255639894699441 13.7441010202438 5.52551249876706e-43 5.64497057365693e-42 3.71219114308978e-44 3.48206412223735
AAEL000568 1688.52183841849 1.1422121904816 0.115950524439938 9.85085833806 6.79610738262202e-23 3.21894575293773e-22 1.3499023298912e-24 1.1333065640302
AAEL000571 144.325021993156 1.25298924603899 0.218888646906285 5.72432268072563 1.03847206327063e-08 2.43857628211228e-08 2.86838023347088e-10 1.22072021843614
AAEL000580 21.3426447361495 2.38227914860483 0.680678371840923 3.49986020881177 0.000465502204469344 0.000778104545274557 6.43137224992629e-05 2.08113912708453
