k3	k4	k5	s01_RUN	s02_RUN	s03_RUN	s12_RFE	s13_RFE	s14_RFE	s05_SNO	s06_SNO	s07_SNO	s08_SRO	s09_SRO	s10_SRO
AAEL000027	1	1	5	0.9905238242864	-0.937445531822347	0.747544440180734	0.563073913478657	-0.937445531822347	2.14195038008515	-0.937445531822347	-0.937445531822347	-0.937445531822347	-0.22144304267694	0.19038005221363	0.275198091544098
AAEL000028	1	2	4	1.46339960813024	1.24093525618763	1.92537142068202	-1.07008491045572	-0.7633951272907	-0.339492602536715	-0.0558795334122353	0.0720064385039127	-0.225616165376167	-0.729114006831027	-0.646815810210231	-0.871314567391016
AAEL000029	2	3	5	-1.03119522127198	-0.422064711975511	0.583942388590772	-1.03119522127198	0.690055385182132	0.484445923057474	-1.03119522127198	-0.937246527652431	1.21671912057639	1.18251177073981	-1.03119522127198	1.32641753656928
AAEL000032	2	4	2	-1.14544653445052	-0.893882448152079	-0.655951250236705	0.524884236984519	0.502836728389479	0.0436386456321125	0.976185240565278	1.88344242814128	1.18562744400287	-0.616707092530575	-0.819462348946682	-0.985165049398961
AAEL000033	2	4	2	-1.3399275007434	-1.51876518820495	-1.20777965197568	-0.581461696529041	-0.345873181052279	-0.280879080502288	0.419694424375633	0.877072573809825	0.985378983264617	1.00941709559291	0.97019916153926	1.0129240604254
AAEL000035	3	3	3	0.0822521808605328	1.50296778392722	-0.0975110213191078	-1.8529694525868	-1.86666853193036	0.679955275928248	-0.410569310538037	0.454781066601989	-0.123628893221522	0.681510981989071	0.33663339527809	0.613246525010678
AAEL000036	1	2	4	1.12009088514554	1.82172915946549	1.92787892665625	-0.596471559228491	-0.596471559228491	-0.346059732213606	-0.596471559228491	-0.54030928816383	-0.596471559228491	-0.596471559228491	-0.404500595518896	-0.596471559228491
AAEL000037	3	3	3	-0.134125620190601	-0.165537563832578	1.46811163398724	-1.74530227962402	-1.58843409722633	-0.909672667187732	0.510837939271517	0.291379808101079	0.114129448773149	0.627320323822463	1.25437213555954	0.27692093854627
AAEL000038	1	2	1	1.22317917521206	2.09235556955811	0.403757681992244	-0.22998025210079	0.604346905383692	0.257769460121069	-1.57080752365954	-0.144845121830939	-1.05198163945504	-0.418659292794539	-0.703319950946064	-0.461815011480244
AAEL000039	3	3	3	-0.832740823918227	0.330202702057001	-0.832740823918227	-0.362062099378578	0.401026982967626	0.00933145757591393	-0.832740823918227	-0.651787657278585	-0.832740823918227	0.240642875008697	2.59981033504303	0.763798699677808
AAEL000041	1	2	1	0.723010583956409	1.07969806247279	1.13935524810499	0.682641647823766	-0.300768712028295	0.951792791355988	0.397721419644726	-0.119461622835717	-0.37796903864074	-1.21118267107678	-1.05021654685003	-1.91462116192712
